"latin","common","common_name","scientific_name"
"Anthiinae","","","Anthiinae"
"Pronotogrammus","","","Pronotogrammus"
"Sarda","","","Sarda"
"Sarda chiliensis","Pacific bonito","Pacific_bonito","Sarda_chiliensis"
"Sarda chiliensis lineolata","","","Sarda_chiliensis_lineolata"
"Seriola","","","Seriola"
"Seriola lalandi","California yellowtail jack","California_yellowtail_jack","Seriola_lalandi"
"Sebastes sp. (aleutianus / melanostictus)","rougheye and blackspotted rockfish","rougheye_and_blackspotted_rockfish","Sebastes_sp._(aleutianus_/_melanostictus)"
"Isurus paucus","longfin mako","longfin_mako","Isurus_paucus"
"Pteroplatytrygon","","","Pteroplatytrygon"
"Manta birostris","giant manta","giant_manta","Manta_birostris"
"Manta","manta unident.","manta_unident.","Manta"
"Mobula japanica","spinetail mobula","spinetail_mobula","Mobula_japanica"
"Mobula thurstoni","smoothtail mobula","smoothtail_mobula","Mobula_thurstoni"
"Mobula","devil ray unident.","devil_ray_unident.","Mobula"
"Mobulidae","devil rays, mantas","devil_rays,_mantas","Mobulidae"
"Bathyraja interrupta","Bering skate","Bering_skate","Bathyraja_interrupta"
"Hydrolagus melanophasma","Eastern Pacific black ghost shark","Eastern_Pacific_black_ghost_shark","Hydrolagus_melanophasma"
"Exocoetidae","flyingfish unident.","flyingfish_unident.","Exocoetidae"
"Exocoetoidea","","","Exocoetoidea"
"Diretmidae","spinyfin unident.","spinyfin_unident.","Diretmidae"
"Cosmocampus arctus","snubnose pipefish","snubnose_pipefish","Cosmocampus_arctus"
"Cosmocampus","","","Cosmocampus"
"Syngnathus leptorhynchus","bay pipefish","bay_pipefish","Syngnathus_leptorhynchus"
"Syngnathus","seaweed pipefish unident.","seaweed_pipefish_unident.","Syngnathus"
"Syngnathinae","","","Syngnathinae"
"Mugil cephalus","striped mullet","striped_mullet","Mugil_cephalus"
"Mugil","gray mullet unident.","gray_mullet_unident.","Mugil"
"Mugilidae","mullet unident.","mullet_unident.","Mugilidae"
"Mugiliformes","","","Mugiliformes"
"Neoclinus uninotatus","onespot fringehead","onespot_fringehead","Neoclinus_uninotatus"
"Heterostichus rostratus","giant kelpfish","giant_kelpfish","Heterostichus_rostratus"
"Heterostichus","","","Heterostichus"
"Brachyistius frenatus","kelp perch","kelp_perch","Brachyistius_frenatus"
"Brachyistius","","","Brachyistius"
"Chromis punctipinnis","blacksmith","blacksmith","Chromis_punctipinnis"
"Chromis","","","Chromis"
"Hypsypops rubicundus","garibaldi","garibaldi","Hypsypops_rubicundus"
"Hypsypops","","","Hypsypops"
"Pomacentridae","damselfish unident.","damselfish_unident.","Pomacentridae"
"Percichthyidae/Serranidae","bass unident.","bass_unident.","Percichthyidae/Serranidae"
"Coryphaena hippurus","dolphinfish","dolphinfish","Coryphaena_hippurus"
"Coryphaena","","","Coryphaena"
"Coryphaenidae","dolphinfish unident.","dolphinfish_unident.","Coryphaenidae"
"Morone  saxatilis","striped bass","striped_bass","Morone__saxatilis"
"Morone","striped bass unident.","striped_bass_unident.","Morone"
"Moronidae","","","Moronidae"
"Stereolepis gigas","giant sea bass","giant_sea_bass","Stereolepis_gigas"
"Stereolepis","","","Stereolepis"
"Polyprionidae","wreckfish unident.","wreckfish_unident.","Polyprionidae"
"Menticirrhus undulatus","California corbina","California_corbina","Menticirrhus_undulatus"
"Menticirrhus","","","Menticirrhus"
"Roncador stearnsii","spotfin croaker","spotfin_croaker","Roncador_stearnsii"
"Roncador","","","Roncador"
"Umbrina roncador","yellowfin croaker","yellowfin_croaker","Umbrina_roncador"
"Umbrina","","","Umbrina"
"Auxis rochei","bullet mackerel","bullet_mackerel","Auxis_rochei"
"Auxis thazard","frigate mackerel","frigate_mackerel","Auxis_thazard"
"Auxis","frigate mackerel unident.","frigate_mackerel_unident.","Auxis"
"Euthynnus lineatus","black skipjack tuna","black_skipjack_tuna","Euthynnus_lineatus"
"Euthynnus","lesser tuna unident.","lesser_tuna_unident.","Euthynnus"
"Thunnus albacares","yellowfin tuna","yellowfin_tuna","Thunnus_albacares"
"Thunnus obesus","bigeye tuna","bigeye_tuna","Thunnus_obesus"
"Thunnus thynnus","bluefin tuna","bluefin_tuna","Thunnus_thynnus"
"Cebidichthys violaceus","monkeyface prickleback","monkeyface_prickleback","Cebidichthys_violaceus"
"Cebidichthys","","","Cebidichthys"
"flatcheek eelpout","flatcheek eelpout","flatcheek_eelpout","flatcheek_eelpout"
"Icelinus quadriseriatus","yellowchin sculpin","yellowchin_sculpin","Icelinus_quadriseriatus"
"Leiocottus hirundo","lavender sculpin","lavender_sculpin","Leiocottus_hirundo"
"Leiocottus","","","Leiocottus"
"Sebastes melanosema","semaphore rockfish","semaphore_rockfish","Sebastes_melanosema"
"Sebastes rufinanus","dwarf-red rockfish","dwarf-red_rockfish","Sebastes_rufinanus"
"Sebastes sp. (aleutianus / borealis)","shortraker and rougheye rockfish","shortraker_and_rougheye_rockfish","Sebastes_sp._(aleutianus_/_borealis)"
"Phosichthyidae","lightfish unident.","lightfish_unident.","Phosichthyidae"
"Etrumeus teres","round herring","round_herring","Etrumeus_teres"
"Etrumeus","","","Etrumeus"
"Dussumieriini","","","Dussumieriini"
"Dussumieriinae","round herring unident.","round_herring_unident.","Dussumieriinae"
"Anchoa compressa","deepbody anchovy","deepbody_anchovy","Anchoa_compressa"
"Anchoa","common anchovy unident.","common_anchovy_unident.","Anchoa"
"Notosudidae","waryfish unident.","waryfish_unident.","Notosudidae"
"Chlorophthalmoidei","","","Chlorophthalmoidei"
"Ophichthus triserialis","Pacific snake eel","Pacific_snake_eel","Ophichthus_triserialis"
"Ophichthus","","","Ophichthus"
"Ophichthini","","","Ophichthini"
"Ophichthinae","","","Ophichthinae"
"Ophichthidae","snake eel unident.","snake_eel_unident.","Ophichthidae"
"Thalassenchelys coheni","leaf-like eel","leaf-like_eel","Thalassenchelys_coheni"
"Thalassenchelys","","","Thalassenchelys"
"Chlopsidae","false moray unident.","false_moray_unident.","Chlopsidae"
"Gymnothorax mordax","California moray","California_moray","Gymnothorax_mordax"
"Gymnothorax","common moray unident.","common_moray_unident.","Gymnothorax"
"Muraeninae","","","Muraeninae"
"Muraenidae","moray eel unident.","moray_eel_unident.","Muraenidae"
"Coryphaenoides armatus","abyssal  grenadier","abyssal__grenadier","Coryphaenoides_armatus"
"Coryphaenoides leptolepis","ghostly grenadier","ghostly_grenadier","Coryphaenoides_leptolepis"
"Coryphaenoides yaquinae","rough abyssal  grenadier","rough_abyssal__grenadier","Coryphaenoides_yaquinae"
"Zalieutes elater","spotted batfish","spotted_batfish","Zalieutes_elater"
"Zalieutes","","","Zalieutes"
"Ogcocephalidae","batfish unident.","batfish_unident.","Ogcocephalidae"
"Ogcocephalioidea","","","Ogcocephalioidea"
"Grammonus diagrammus","purple brotula","purple_brotula","Grammonus_diagrammus"
"Grammonus","","","Grammonus"
"Osmeridae non-eulachon","non-eulachon smelt unident.","non-eulachon_smelt_unident.","Osmeridae_non-eulachon"
"decomposed fish","decomposed fish","decomposed_fish","decomposed_fish"
"nonspecific egg-case unident.","nonspecific egg-case unident.","nonspecific_egg-case_unident.","nonspecific_egg-case_unident."
"Xiphioidei","","","Xiphioidei"
"Istiophoridae","billfish unident.","billfish_unident.","Istiophoridae"
"Makaira","marlin or blue marlin unident.","marlin_or_blue_marlin_unident.","Makaira"
"Makaira nigricans","blue marlin","blue_marlin","Makaira_nigricans"
"Kajikia","","","Kajikia"
"Kajikia audax","striped marlin","striped_marlin","Kajikia_audax"
"Sebastes sp. (goodei / paucispinis)","chilipepper + bocaccio","chilipepper_+_bocaccio","Sebastes_sp._(goodei_/_paucispinis)"
"Sebastes sp. (miniatus / pinniger)","vermilion and canary rockfish","vermilion_and_canary_rockfish","Sebastes_sp._(miniatus_/_pinniger)"
"Sebastes sp. (melanops / mystinus)","black and blue rockfish","black_and_blue_rockfish","Sebastes_sp._(melanops_/_mystinus)"
"Istiophorus","sailfish unident.","sailfish_unident.","Istiophorus"
"Istiophorus platypterus","sailfish","sailfish","Istiophorus_platypterus"
"Tetrapturus","spearfish unident.","spearfish_unident.","Tetrapturus"
"Tetrapturus angustirostris","shortbill spearfish","shortbill_spearfish","Tetrapturus_angustirostris"
"Katsuwonus","skipjack tuna unident.","skipjack_tuna_unident.","Katsuwonus"
"Katsuwonus pelamis","skipjack tuna","skipjack_tuna","Katsuwonus_pelamis"
"Xiphiidae","swordfish unident.","swordfish_unident.","Xiphiidae"
"Xiphias","","","Xiphias"
"Xiphias gladius","swordfish","swordfish","Xiphias_gladius"
"Scomberomorini","","","Scomberomorini"
"Acanthocybium","teto unident.","teto_unident.","Acanthocybium"
"Acanthocybium solandri","wahoo","wahoo","Acanthocybium_solandri"
"Leptoclinus","","","Leptoclinus"
"Rhizoprionodon longurio","Pacific sharpnose shark","Pacific_sharpnose_shark","Rhizoprionodon_longurio"
"Poromitra curilensis","crested melamphid","crested_melamphid","Poromitra_curilensis"
"Bathyraja mariposa","butterfly skate","butterfly_skate","Bathyraja_mariposa"
"Beringraja binoculata","big skate","big_skate","Beringraja_binoculata"
"Beringraja/Raja","stiff snout skate unident.","stiff_snout_skate_unident.","Beringraja/Raja"
"Diretmus argenteus","spinyfin","spinyfin","Diretmus_argenteus"
"Taractes asper","rough pomfret","rough_pomfret","Taractes_asper"
"Ptilichthys goodei","quillfish","quillfish","Ptilichthys_goodei"
"Pholidae/Stichaeidae","blenny unident.","blenny_unident.","Pholidae/Stichaeidae"
"Glyptocephalus stelleri","blackfin flounder","blackfin_flounder","Glyptocephalus_stelleri"
"Clinocottus embryum","calico sculpin","calico_sculpin","Clinocottus_embryum"
"Clinocottus globiceps","mosshead sculpin","mosshead_sculpin","Clinocottus_globiceps"
"Myoxocephalus scorpius","shorthorn sculpin","shorthorn_sculpin","Myoxocephalus_scorpius"
"Careproctus blacktail snailfish","blacktail snailfish group","blacktail_snailfish_group","Careproctus_blacktail_snailfish"
"Polypera greeni","lobefin snailfish","lobefin_snailfish","Polypera_greeni"
"Sebastes glaucus","gray rockfish","gray_rockfish","Sebastes_glaucus"
"Sebastes sp. (ciliatus / variabilis)","dark (dusky) and dusky rockfish","dark_(dusky)_and_dusky_rockfish","Sebastes_sp._(ciliatus_/_variabilis)"
"Sebastes red rockfish unident.","small red rockfish unident.","small_red_rockfish_unident.","Sebastes_red_rockfish_unident."
"Sebastes dark rockfish","dark rockfish unident.","dark_rockfish_unident.","Sebastes_dark_rockfish"
"Sebastes P.O.P. group","P.O.P. group","P.O.P._group","Sebastes_P.O.P._group"
"Regalecus glesne","oarfish","oarfish","Regalecus_glesne"
"Ceratias holboelli","northern seadevil","northern_seadevil","Ceratias_holboelli"
"Clupeidae/Osmeridae","smelt/herring unident.","smelt/herring_unident.","Clupeidae/Osmeridae"
"Argyropelecus sladeni","silvery hatchetfish","silvery_hatchetfish","Argyropelecus_sladeni"
"Microstomus pacificus","Dover sole","Dover_sole","Microstomus_pacificus"
"Oncorhynchus tshawytscha","Chinook salmon","Chinook_salmon","Oncorhynchus_tshawytscha"
"Rhacochilus toxotes","rubberlip seaperch","rubberlip_seaperch","Rhacochilus_toxotes"
"Opostomias","","","Opostomias"
"Opostomias mitsuii","pitgum lanternfish","pitgum_lanternfish","Opostomias_mitsuii"
"Paraliparis sp. cf. dactylosus (Orr and Baldwin)","bluntnose snailfish","bluntnose_snailfish","Paraliparis_sp._cf._dactylosus_(Orr_and_Baldwin)"
"Nannobrachium","","","Nannobrachium"
"Nannobrachium nigrum","black lanternfish","black_lanternfish","Nannobrachium_nigrum"
"Bertella","","","Bertella"
"Bertella idiomorpha","","","Bertella_idiomorpha"
"Scopelosaurus adleri","Adler waryfish","Adler_waryfish","Scopelosaurus_adleri"
"Holtbyrnia","","","Holtbyrnia"
"Saccopharynx lavenbergi","","","Saccopharynx_lavenbergi"
"Sebastes diaconus","deacon rockfish","deacon_rockfish","Sebastes_diaconus"
